start-url,title,ingredients,calorie,guaranteed analysis,food link 2-href
https://www.chewy.com/b/dry-food_c294_p28,"Wysong Adult Dry Dog Food, 5-lb bag","Chicken, Chicken Meal, Oat Groats, Brown Rice, Turkey Meal, Peas, Chicken Fat (preserved with Mixed Tocopherols), Flaxseeds, Dried Plain Beet Pulp, Natural Flavor, Dried Whey, Crab Meal, Montmorillonite Clay, Salt, Taurine, Calcium Carbonate, Dried Tomato Pomace, Calcium Propionate (a preservative), Choline Chloride, Coconut Oil, Dried Blueberry Powder, Dried Kelp, Dried Yogurt, Organic Barley Grass Powder, Fish Oil, Yeast Extract, Citric Acid (a preservative), Dried Kale, Dried Spinach, Dried Carrots, Apple Pectin, Mixed Tocopherols (a preservative), Rosemary Extract, Inulin, Yeast Culture, Minerals (Potassium Chloride, Zinc Proteinate, Zinc Sulfate, Ferrous Sulfate, Iron Proteinate, Copper Sulfate, Copper Proteinate, Manganese Sulfate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Vitamins (Ascorbic Acid [source of Vitamin C], Vitamin E , Niacin , Calcium Pantothenate, Vitamin A , Thiamine Mononitrate, Pyridoxine Hydrochloride, Riboflavin , Vitamin D3 , Biotin, Vitamin B12 , Folic Acid), Dried Aspergillus Oryzae Fermentation Product, Dried Enterococcus Faecium Fermentation Product, Dried Lactobacillus Casei Fermentation Product, Dried Lactobacillus acidophilus Fermentation Product, Dried Bacillus Subtilis Fermentation Product, Dried Lactobacillus Plantarum Fermentation Product, Dried Lactobacillus Lactis Fermentation Product, Pepper.",null,"<tr><td>Crude Protein</td><td>30.0% min</td></tr><tr><td>Crude Fat</td><td>15.0% min</td></tr><tr><td>Crude Fiber</td><td>5.0% max</td></tr><tr><td>Moisture</td><td>10.0% max</td></tr>",https://www.chewy.com/wysong-adult-dry-dog-food-5-lb-bag/dp/51607
https://www.chewy.com/b/dry-food_c294_p18,Royal Canin Small Weight Care Dry Dog Food,"Corn, Chicken By-Product Meal, Wheat Gluten, Corn Gluten Meal, Pea Fiber, Barley, Brewers Rice, Natural Flavors, Chicken Fat, Dried Plain Beet Pulp, Powdered Cellulose, Powdered Psyllium Seed Husk, Fish Oil, Vegetable Oil, Potassium Chloride, Calcium Carbonate, Salt, Sodium Tripolyphosphate, Fructooligosaccharides, Choline Chloride, Taurine, Vitamins[Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Pyridoxine Hydrochloride (Vitamin B6), Niacin , Folic Acid, Thiamine Mononitrate (Vitamin B1), Vitamin B12 , Riboflavin , Vitamin D3 ], L-Lysine, Dl-Methionine, Trace Minerals[Zinc Proteinate, Zinc Oxide, Manganese Proteinate, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Magnesium Oxide, Gla Safflower Oil, Glucosamine Hydrochloride, Marigold Extract (Tagetes Erecta L.), L-Carnitine, Chondroitin Sulfate, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid.","3273 kcal/kg, 259 kcal/cup","<tr><td>Crude Protein</td><td>28.0% min</td></tr><tr><td>Crude Fat</td><td>9.0% min</td></tr><tr><td>Crude Fiber</td><td>10.0% max</td></tr><tr><td>Moisture</td><td>10.0% max</td></tr><tr><td>L-Carnitine</td><td>140 mg/kg min</td></tr><tr><td>Glucosamine</td><td>371 mg/kg min</td></tr><tr><td>Chondroitin Sulfate</td><td>4 mg/kg min</td></tr>",https://www.chewy.com/royal-canin-small-weight-care-dry-dog/dp/35412
https://www.chewy.com/b/dry-food_c294_p45,"Royal Canin Shih Tzu Puppy Dry Dog Food, 2.5-lb bag","Brewers Rice, Chicken By-Product Meal, Corn, Chicken Fat, Wheat Gluten, Dried Plain Beet Pulp, Natural Flavors, Fish Oil, Calcium Carbonate, Vegetable Oil, Sodium Silico Aluminate, Monocalcium Phosphate, Potassium Chloride, Salt, Fructooligosaccharides, Dl-Methionine, Sodium Tripolyphosphate, Hydrolyzed Yeast, Taurine, Choline Chloride, Vitamins [Dl-Alpha Tocopherol Acetate (Source of Vitamin E), Inositol, Niacin , L-Ascorbyl-2-Polyphosphate (Source of Vitamin C), D-Calcium Pantothenate, Biotin, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin , Thiamine Mononitrate (Vitamin B1), Vitamin A Acetate, Folic Acid, Vitamin B12 , Vitamin D3 ], L-Lysine, L-Tyrosine, Marigold Extract (Tagetes Erecta L.), Trace Minerals [Zinc Oxide, Ferrous Sulfate, Zinc Proteinate, Manganous Oxide, Manganese Proteinate, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], L-Carnitine, Rosemary Extract, Preserved with Mixed Tocopherols and Citric Acid.","3,777 kcal/kg, 355 kcal/cup","<tr><td>Crude Protein</td><td>26.0% min</td></tr><tr><td>Crude Fat</td><td>16.0% min</td></tr><tr><td>Crude Fiber</td><td>3.6% max</td></tr><tr><td>Moisture</td><td>10.0% max</td></tr><tr><td>Vitamin E</td><td>500 IU/kg min</td></tr><tr><td>Vitamin A</td><td>13,000 IU/kg min</td></tr><tr><td>Eicosapentaenoic Acid (EPA)</td><td>0.18% min</td></tr><tr><td>Docosahexaenoic Acid (DHA)</td><td>0.07% min</td></tr><tr><td>Taurine</td><td>0.2% min</td></tr><tr><td>Ascorbic Acid</td><td>200 mg/kg min</td></tr><tr><td>Lutein</td><td>5 mg/kg min</td></tr>",https://www.chewy.com/royal-canin-shih-tzu-puppy-dry-dog/dp/48345
https://www.chewy.com/b/dry-food_c294_p24,"Blue Buffalo Wilderness Nature's Evolutionary Diet Plus Wholesome Grains Chicken, Oats & Barley Adult Dry Dog Food","Deboned Chicken, Chicken Meal (Source of Glucosamine), Oatmeal, Barley, Dried Chicken, Dried Tomato Pomace, Natural Flavor, Chicken Fat (Preserved with Mixed Tocopherols), Flaxseed (Source of Omega 3 & Omega 6 Fatty Acids), Peas, Pea Protein, Dried Egg Product, Salt, Dehydrated Alfalfa Meal, Potassium Chloride, L-Threonine, DL-Methionine, Potatoes, Calcium Carbonate, Dried Chicory Root, Pea Fiber, Alfalfa Nutrient Concentrate, Dicalcium Phosphate, Choline Chloride, Preserved with Mixed Tocopherols, Sweet Potatoes, Carrots, Zinc Amino Acid Chelate, Zinc Sulfate, Vegetable juice for color, Ferrous Sulfate, Vitamin E , Iron Amino Acid Chelate, Blueberries, Cranberries, Barley Grass, Parsley, Turmeric, Dried Kelp, Yucca Schidigera Extract, Niacin (Vitamin B3), Calcium Pantothenate (Vitamin B5), Copper Sulfate, Biotin (Vitamin B7), L-Ascorbyl-2-Polyphosphate (source of Vitamin C), L-Lysine, Vitamin A , Copper Amino Acid Chelate, Manganese Sulfate, Manganese Amino Acid Chelate, Taurine, Thiamine Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Vitamin D3 , Vitamin B12 , Pyridoxine Hydrochloride (Vitamin B6), Calcium Iodate, Dried Yeast, Dried Enterococcus faecium fermentation product, Dried Lactobacillus acidophilus fermentation product, Dried Aspergillus niger fermentation extract, Dried Trichoderma longibrachiatum fermentation extract, Dried Bacillus subtilis fermentation extract, Folic Acid (Vitamin B9), Sodium Selenite, Oil of Rosemary.","3661 kcal/kg, 423 kcal/cup","<tr><td>Crude Protein</td><td>34.0% min</td></tr><tr><td>Crude Fat</td><td>15.0% min</td></tr><tr><td>Crude Fiber</td><td>6.0% max</td></tr><tr><td>Moisture</td><td>10.0% max</td></tr><tr><td>Calcium</td><td>1.4% min</td></tr><tr><td>Phosphorus</td><td>0.9% min</td></tr><tr><td>Omega 3 Fatty Acids</td><td>0.25% min</td></tr><tr><td>Omega 6 Fatty Acids</td><td>2.74% min</td></tr><tr><td>Glucosamine</td><td>400 mg/kg min</td></tr>",https://www.chewy.com/blue-buffalo-wilderness-natures/dp/269333
https://www.chewy.com/b/dry-food_c294_p15,"Purina Pro Plan Small Breed Adult Shredded Blend Lamb & Rice Formula Dry Dog Food, 6-lb bag","Lamb, Corn Gluten Meal, Rice, Poultry By-product Meal (Source Of Glucosamine), Soybean Meal, Whole Grain Corn, Whole Grain Wheat, Beef Fat Preserved With Mixed-tocopherols, Corn Germ Meal, Dried Egg Product, Natural Flavor, Glycerin, Dried Yeast, Calcium Carbonate, Wheat Bran, Soybean Oil, Mono And Dicalcium Phosphate, Salt, Potassium Chloride, Minerals [Zinc Proteinate, Manganese Proteinate, Ferrous Sulfate, Copper Proteinate, Calcium Iodate, Sodium Selenite], Vitamins [Vitamin E , Niacin (Vitamin B-3), Vitamin A , Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Vitamin B-12 , Riboflavin  (Vitamin B-2), Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 , Menadione Sodium Bisulfite Complex (Vitamin K), Biotin (Vitamin B-7)], Choline Chloride, L-ascorbyl-2-polyphosphate (Vitamin C), Dried Bacillus Coagulans Fermentation Product, Garlic Oil. D439419.","3,921 kcal/kg, 396 kcal/cup","<tr><td>Crude Protein</td><td>29.0% min</td></tr><tr><td>Crude Fat</td><td>17.0% min</td></tr><tr><td>Crude Fiber</td><td>3.0% max</td></tr><tr><td>Moisture</td><td>12.0% max</td></tr><tr><td>Linoleic Acid</td><td>1.5% min</td></tr><tr><td>Calcium</td><td>1.0% min</td></tr><tr><td>Phosphorus</td><td>0.8% min</td></tr><tr><td>Selenium</td><td>0.35 mg/kg min</td></tr><tr><td>Vitamin A</td><td>15,000 IU/kg min</td></tr><tr><td>Vitamin E</td><td>460 IU/kg min</td></tr><tr><td>Ascorbic Acid</td><td>70 mg/kg min</td></tr><tr><td>Glucosamine</td><td>400 ppm min</td></tr><tr><td>Omega-6 Fatty Acids</td><td>1.7% min</td></tr><tr><td>Bacillus Coagulans</td><td>600 million CFU/lb min</td></tr>",https://www.chewy.com/purina-pro-plan-small-breed-adult/dp/234883
https://www.chewy.com/b/dry-food_c294_p33,"Forza10 Nutraceutic Active Kidney Renal Support Diet Dry Dog Food, 8.8-lb bag","Rice, Pea Starch, Vegetable Oil, Hydrolyzed Fish Protein, Hydrolyzed Potato Protein, Fish Oil (Preserved With Mixed Tocopherols), Minerals (Calcium Carbonate, Dicalcium Phosphate, Potassium Chloride, Zinc Sulfate, Copper Amino Acid Complex), Dl-Methionine, Vitamins (Vitamin E , Ascorbic Acid, Vitamin B12 , Niacin , Vitamin A , Calcium Pantothenate, Riboflavin , Pyridoxine Hydrochloride, Thiamine Mononitrate, Vitamin D3 , Folic Acid), Choline Chloride, Dried Kelp, Fructooligosaccharide (Fos), Dried Clover Extract, Cranberries, Dried Dandelion Root Extract, Yucca Schidigera Extract, Rosemary Extract.","3748 kcal/kg, 363 kcal/cup","<tr><td>Crude Protein</td><td>18% min</td></tr><tr><td>Crude Fat</td><td>16.5% min</td></tr><tr><td>Crude Fiber</td><td>2.5% max</td></tr><tr><td>Moisture</td><td>8.0% max</td></tr><tr><td>Ash</td><td>6.0% max</td></tr><tr><td>Omega-3 Fatty Acids</td><td>1.6% min</td></tr><tr><td>Omega-6 Fatty Acids</td><td>2.0% max</td></tr><tr><td>Calcium</td><td>1.4% min</td></tr><tr><td>Phosphorus</td><td>0.6% min</td></tr><tr><td>Sodium</td><td>0.1% min</td></tr><tr><td>Magnesium</td><td>0.09% min</td></tr>",https://www.chewy.com/forza10-nutraceutic-active-kidney/dp/209821
https://www.chewy.com/b/dry-food_c294_p26,VICTOR Realtree MAX-5 PRO Dry Dog Food,"Beef Meal, Grain Sorghum, Chicken Fat (preserved with mixed Tocopherols), Natural Flavor, Whole Grain Brown Rice, Menhaden Fish Meal, Dehydrated Alfalfa Meal, Duck Meal, Potassium Chloride, Carrot Powder, Tomato Pomace, Salt, Flaxseed Meal, Organic Dried Seaweed Meal, Taurine, Choline Chloride, Calcium Stearate, Egg Product, Zinc Methionine Complex, Glucosamine Hydrochloride, Vitamin E , DL-Methionine, Iron Amino Acid Complex, Hydrolyzed Yeast, Cranberry Powder, Chondroitin Sulfate, Manganese Amino Acid Complex, Silicon Dioxide, Blueberry Powder, L-Carnitine, Selenium Yeast, Brewers Dried Yeast, Dried Enterococcus Faecium Fermentation Product, Dried Lactobacillus Acidophilus Fermentation Product, Dried Aspergillus Oryzae Fermentation Extract, Dried Trichoderma Longibrachiatum Fermentation Extract, Dried Bacillus Subtilis Fermentation Extract, Copper Sulfate, Niacin , Vitamin B12 , Vitamin A , D-Calcium Pantothenate, Thiamine Mononitrate, Biotin, Yucca Schidigera Extract, Calcium Carbonate, Riboflavin , Calcium Iodate, Pyridoxine Hydrochloride, Vitamin D3 , Tetrasodium Pyrophosphate, Vegetable Oil, Rosemary Extract, Green Tea Extract, Spearmint Extract, Inulin, Lecithin, Folic Acid.","3794 kcal/kg, 403 kcal/cup","<tr><td>Crude Protein</td><td>30.0% min</td></tr><tr><td>Crude Fat</td><td>20.0% min</td></tr><tr><td>Crude Fiber</td><td>4.0% max</td></tr><tr><td>Moisture</td><td>9.0% max</td></tr><tr><td>Linoleic Acid (Omega 6)</td><td>2.75% min</td></tr><tr><td>Phosphorus</td><td>1.15% min</td></tr><tr><td>Zinc</td><td>160 mg/kg min</td></tr><tr><td>Selenium</td><td>0.55% min</td></tr><tr><td>Vitamin E</td><td>175 IU/kg  min</td></tr><tr><td>L-Carnitine</td><td>100 mg/kg min</td></tr><tr><td>Glucosamine</td><td>800 mg/kg min</td></tr><tr><td>Chondroitin</td><td>300 mg/kg min</td></tr>",https://www.chewy.com/victor-realtree-max-5-pro-dry-dog/dp/279306
https://www.chewy.com/b/dry-food_c294_p25,Merrick Lil' Plates Grain-Free Chicken & Sweet Potato Recipe with Freeze-Dried Raw Bites Dry Dog Food,"Deboned Chicken, Chicken Meal, Turkey Meal, Sweet Potatoes, Potatoes, Peas, Pea Protein, Chicken Fat (Preserved With Mixed Tocopherols), Potato Protein, Salmon Meal, Natural Flavor, Flaxseed, Sunflower Oil, Chicken Liver, Salt, Organic Dried Alfalfa Meal, Apples, Blueberries, Choline Chloride, Salmon Oil, Minerals (Iron Amino Acid Complex, Zinc Amino Acid Complex, Zinc Sulfate, Sodium Selenite, Manganese Amino Acid Complex, Copper Amino Acid Complex, Potassium Iodide, Cobalt Proteinate, Cobalt Carbonate), Inulin (From Chicory Root), Yucca Schidigera Extract, Gelatin, Vitamins (Vitamin E , Vitamin B12 , Vitamin A Acetate, D-Calcium Pantothenate, Thiamine Mononitrate, Niacin, Riboflavin , Biotin, Vitamin D3 , Folic Acid, Pyridoxine Hydrochloride), Dried Bacillus Coagulans Fermentation Product, Dried Lactobacillus Plantarum Fermentation Product, Dried Lactobacillus Casei Fermentation Product, Dried Enterococcus Faecium Fermentation Product, Dried Lactobacillus Acidophilus Fermentation Product.","3760 kcal/kg, 413 kcal/cup","<tr><td>Crude Protein</td><td>38.0% min</td></tr><tr><td>Crude Fat</td><td>17.0% min</td></tr><tr><td>Crude Fiber</td><td>3.5% max</td></tr><tr><td>Moisture</td><td>11.0% max</td></tr><tr><td>Docosahexaenoic Acid (DHA)</td><td>0.05% min</td></tr><tr><td>Omega-6 Fatty Acids</td><td>4.00% min</td></tr><tr><td>Omega-3 Fatty Acids</td><td>0.80% min</td></tr><tr><td>Glucosamine</td><td>1200 mg/kg min</td></tr><tr><td>Chondroitin SulFate</td><td>1200 mg/kg min</td></tr><tr><td>Bacillus Coagulans</td><td>90,000,000 cfu/lb min</td></tr>",https://www.chewy.com/merrick-lil-plates-grain-free-small/dp/172727
https://www.chewy.com/b/dry-food_c294_p16,Holistic Select Adult Health Lamb Meal Recipe Dry Dog Food,"Lamb Meal, Oatmeal, Peas, Rice, Chicken Fat (preserved with Mixed Tocopherols), Oats, Dried Plain Beet Pulp, Flaxseed, Pumpkin, Cranberries, Apples, Brewers Dried Yeast, Potassium Chloride, Taurine, Papayas, Taurine, Blueberries, Pomegranates, Vitamin E , Inulin, Dried Kelp, Zinc Proteinate, Mixed Tocopherols added to preserve freshness, Zinc Sulfate , Niacin, Ferrous Sulfate, Iron Proteinate, Vitamin A , Yucca Schidigera Extract, Glucosamine Hydrochloride, Ascorbic Acid (Vitamin C), Ground Cinnamon, Ground Fennel, Ground Peppermint, Copper Sulfate, Thiamine Mononitrate, Copper Proteinate, Manganese Proteinate, Manganese Sulfate, d-Calcium Pantothenate, Sodium Selenite, Dried Enterococcus faecium Fermentation Product, Pyridoxine Hydrochloride, Riboflavin, Vitamin D3 , Biotin, Dried Lactobacillus bulgaricus Fermentation Product, Dried Enterococcus thermophilus Fermentation Product, Calcium Iodate, Vitamin B12 , Folic Acid, Dried Bacillus licheniformis Fermentation Product, Dried Bacillus subtilis Fermentation Product, Dried Aspergillus oryzae Fermentation Product, Dried Trichoderma reesei Fermentation Product, Dried Rhizopus oryzae Fermentation Product, Dried Lactobacillus acidophilus Fermentation Product, Dried Lactobacillus casei Fermentation Product, Rosemary Extract, Green Tea Extract, Spearmint Extract.","3,718 kcal/kg, 454 kcal/cup","<tr><td>Crude Protein</td><td>23.0% min</td></tr><tr><td>Crude Fat</td><td>15.0% min</td></tr><tr><td>Crude Fiber</td><td>4.5% max</td></tr><tr><td>Moisture</td><td>10.0% max</td></tr><tr><td>Calcium</td><td>1.8% min</td></tr><tr><td>Phosphorus</td><td>1.1% min</td></tr><tr><td>Vitamin A</td><td>22,000 IU/kg min</td></tr><tr><td>Vitamin E</td><td>165 IU/kg min</td></tr><tr><td>Taurine</td><td>0.2% min</td></tr><tr><td>Omega-6 Fatty Acids</td><td>3.45% min</td></tr><tr><td>Omega-3 Fatty Acids</td><td>0.45% min</td></tr><tr><td>Glucosamine</td><td>340 mg/kg min</td></tr><tr><td>Total Lactic Acid Microorganisms</td><td>100,000,000 CFU/lb min</td></tr><tr><td>Total Bacillus Organisms</td><td>7,000,000 CFU/lb min</td></tr><tr><td>Protease</td><td>280 HUT/lb min</td></tr><tr><td>Cellulase</td><td>100 Cellulase Units/lb min</td></tr><tr><td>Alpha-Amylase</td><td>5 Dextrin Units/lb min</td></tr>",https://www.chewy.com/holistic-select-adult-health-lamb/dp/32818
https://www.chewy.com/b/dry-food_c294_p28,Dr. Gary's Best Breed Holistic All Breed Dry Dog Food,"Chicken Meal, Oatmeal, Pearled Barley, Dried Beet Pulp, Sorghum, Chicken Fat [Preserved with Natural Mixed Tocopherols (Vitamin E)], Egg Product, Brewers Dried Yeast, Tomato Pomace, Natural Flavor, Menhaden Fish Meal, Flax Seed, Lecithin, Menhaden Fish Oil, Calcium Carbonate, Kelp Meal, Sea Salt, New Zealand Sea Mussel, Canola Oil, L-Lysine, Dl Methionine, Potassium Chloride, Monosodium Phosphate, Garlic Powder, Lactobacillus Acidophilus Fermentation Product Dehydrated, Ascorbic Acid, Vitamin E , Biotin, Niacin , D-Calcium Pantothenate, Vitamin A Acetate, Riboflavin , Vitamin B12 , Thiamine Mononitrate, Pyridoxine Hydrochloride, Citric Acid, Vitamin D3 , Folic Acid, Potassium Chloride, Ferrous Sulfate, Zinc Sulfate, Zinc Proteinate, Iron Proteinate, Zinc Oxide, Copper Sulfate, Manganese Sulfate, Manganese Proteinate, Copper Proteinate, Manganous Oxide, Sodium Selenite, Calcium Iodate.","4,213 kcal/kg, 472 kcal/cup","<tr><td>Crude Protein</td><td>26.0% min</td></tr><tr><td>Crude Fat</td><td>15.0% min</td></tr><tr><td>Crude Fiber</td><td>4.0% min</td></tr><tr><td>Moisture</td><td>10.0% max</td></tr>",https://www.chewy.com/dr-garys-best-breed-holistic-all/dp/121457
